"행정구역별","산업별","대표자성별",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"전  국","비알콜 음료점업","계",26452,25890,26279,27768,30801,36249,42458,48121,55693,59656,68345
"서  울","비알콜 음료점업","계",5526,5609,5916,6581,7832,9399,11049,12267,13933,14625,16137
"부  산","비알콜 음료점업","계",1810,1720,1804,1960,2089,2420,2862,3215,3681,3778,4185
"대  구","비알콜 음료점업","계",1436,1408,1475,1591,1785,2020,2295,2510,2815,3070,3395
"인  천","비알콜 음료점업","계",992,968,966,1017,1161,1394,1751,2071,2492,2725,3190
"광  주","비알콜 음료점업","계",669,639,661,785,856,1039,1198,1376,1630,1732,2017
"대  전","비알콜 음료점업","계",577,563,613,635,762,989,1251,1479,1768,1983,2249
"울  산","비알콜 음료점업","계",479,453,458,496,558,660,789,987,1123,1252,1443
"세  종","비알콜 음료점업","계",-,-,-,-,-,-,81,95,151,204,284
"경  기","비알콜 음료점업","계",3946,3959,4151,4442,5214,6519,7793,9305,11181,12094,14226
"강  원","비알콜 음료점업","계",1140,1137,1086,1103,1180,1358,1575,1800,2032,2157,2530
"충  북","비알콜 음료점업","계",915,899,845,837,907,1031,1205,1364,1545,1649,2001
"충  남","비알콜 음료점업","계",1382,1327,1278,1225,1215,1373,1512,1638,1906,2118,2521
"전  북","비알콜 음료점업","계",940,902,925,985,1082,1273,1487,1642,1843,2035,2338
"전  남","비알콜 음료점업","계",1284,1153,1033,1013,984,1072,1225,1325,1559,1702,2094
"경  북","비알콜 음료점업","계",2705,2621,2563,2562,2608,2797,3063,3296,3640,3870,4259
"경  남","비알콜 음료점업","계",2268,2148,2118,2122,2140,2409,2685,2971,3407,3643,4185
"제  주","비알콜 음료점업","계",383,384,387,414,428,496,637,780,987,1019,1291
