시도별,산업별,사업체구분별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
시도별,산업별,사업체구분별,사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),,,,,,,,,,,
전국,찻집,계,43386,40126,199,243,31949,28084,26452,25890,26279,27768,30801,36249,42458,48121,55693,59656,68345
서울특별시,찻집,계,8390,8099,123,151,6432,5718,5526,5609,5916,6581,7832,9399,11049,12267,13933,14625,16137
부산광역시,찻집,계,2772,2538,15,16,2142,1903,1810,1720,1804,1960,2089,2420,2862,3215,3681,3778,4185
대구광역시,찻집,계,2480,2266,4,8,1790,1567,1436,1408,1475,1591,1785,2020,2295,2510,2815,3070,3395
인천광역시,찻집,계,1757,1639,11,8,1272,1088,992,968,966,1017,1161,1394,1751,2071,2492,2725,3190
광주광역시,찻집,계,1284,1213,1,2,866,686,669,639,661,785,856,1039,1198,1376,1630,1732,2017
대전광역시,찻집,계,1261,1186,2,4,775,632,577,563,613,635,762,989,1251,1479,1768,1983,2249
울산광역시,찻집,계,805,756,3,5,614,539,479,453,458,496,558,660,789,987,1123,1252,1443
세종,찻집,계,0,0,0,0,0,0,0,0,0,0,0,0,81,95,151,204,284
경기도,찻집,계,6050,5504,24,38,4567,4050,3946,3959,4151,4442,5214,6519,7793,9305,11181,12094,14226
강원도,찻집,계,1826,1655,2,4,1385,1254,1140,1137,1086,1103,1180,1358,1575,1800,2032,2157,2530
충청북도,찻집,계,1719,1605,2,1,1177,995,915,899,845,837,907,1031,1205,1364,1545,1649,2001
충청남도,찻집,계,2371,2153,1,1,1728,1507,1382,1327,1278,1225,1215,1373,1512,1638,1906,2118,2521
전라북도,찻집,계,1980,1716,4,1,1234,1017,940,902,925,985,1082,1273,1487,1642,1843,2035,2338
전라남도,찻집,계,2753,2437,2,1,1735,1417,1284,1153,1033,1013,984,1072,1225,1325,1559,1702,2094
경상북도,찻집,계,3916,3631,0,0,3109,2861,2705,2621,2563,2562,2608,2797,3063,3296,3640,3870,4259
경상남도,찻집,계,3528,3235,4,3,2694,2445,2268,2148,2118,2122,2140,2409,2685,2971,3407,3643,4185
제주도,찻집,계,494,493,1,0,429,405,383,384,387,414,428,496,637,780,987,1019,1291
