지역별(1),지역별(2),소재부품산업별(1),2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
지역별(1),지역별(2),소재부품산업별(1),부가가치액 (백만원),부가가치액 (백만원),부가가치액 (백만원),부가가치액 (백만원),부가가치액 (백만원),부가가치액 (백만원),부가가치액 (백만원),부가가치액 (백만원),부가가치액 (백만원),부가가치액 (백만원),부가가치액 (백만원),부가가치액 (백만원),부가가치액 (백만원),부가가치액 (백만원),부가가치액 (백만원),부가가치액 (백만원)
수도권,서울,고무 및 플라스틱제품,110911,82509,137146,126081,89920,114348,109569,91454,90197,111190,145325,129403,177645,186329,169556,178536
수도권,인천,고무 및 플라스틱제품,254377,266453,333139,444599,500128,531591,519551,420043,533098,545484,502218,568163,565288,677435,624799,582262
수도권,경기,고무 및 플라스틱제품,1246981,1449927,1785755,2149554,2159588,2031381,2293632,2469456,1798415,2576113,2641293,3128841,3096974,3345698,3331738,3203098
비수도권,부산,고무 및 플라스틱제품,168847,170852,194920,191737,165257,203088,254507,305793,337866,382200,389429,392113,346902,452590,506467,527872
비수도권,대구,고무 및 플라스틱제품,221569,122040,144823,148930,154830,193903,207375,205413,217089,197652,219133,210777,243832,232668,250488,228509
비수도권,광주,고무 및 플라스틱제품,528155,391994,590006,659706,572463,608468,701792,20228,755493,768636,537424,518105,686947,695477,740675,803700
비수도권,대전,고무 및 플라스틱제품,440412,468269,602377,647847,602709,693778,529366,546984,624915,750776,787068,780432,681101,631035,630365,819742
비수도권,울산,고무 및 플라스틱제품,277018,226713,179863,161235,228891,194653,189731,241875,399843,460254,595792,524804,505246,457595,448740,460076
비수도권,세종,고무 및 플라스틱제품,0,0,0,0,0,0,0,0,0,0,120766,151117,108039,93899,128549,138672
비수도권,강원,고무 및 플라스틱제품,29044,31884,32715,31396,36576,34518,40478,31610,36564,32993,37673,39116,46486,52227,72163,72401
비수도권,충북,고무 및 플라스틱제품,193813,232617,243065,503771,646823,761186,673700,416795,704927,736681,505192,557186,734421,934900,943247,916947
비수도권,충남,고무 및 플라스틱제품,697987,685304,822404,819902,783156,890905,1224511,1279563,1532930,1550958,1950220,1803998,1733840,1826126,1790690,1929600
비수도권,전북,고무 및 플라스틱제품,103803,112572,131073,189562,162121,164856,184543,219409,252511,224611,214612,221465,233940,291570,291999,286183
비수도권,전남,고무 및 플라스틱제품,249584,294918,467928,459600,425429,465580,471438,355704,844717,530112,495745,414934,491695,441752,436907,518850
비수도권,경북,고무 및 플라스틱제품,572102,494585,791610,1242571,977776,1012515,1038858,1053507,1333910,1423630,1757134,1890303,1727643,1600593,1608603,1565591
비수도권,경남,고무 및 플라스틱제품,764906,665335,747624,870981,938423,1188145,1314805,1239477,1159167,1368157,1738586,1698679,1720913,1894347,1910578,1994776
비수도권,제주,고무 및 플라스틱제품,0,0,0,0,0,0,0,0,0,0,0,0,1889,3312,4562,4759
